country,region,region_code,start_date,end_date,days,year,week,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change
Australia,Australia,0,30-12-2019,05-01-2020,7,2020,1,25921089,2926,0,2965.372893,-39.37289326,2926,0,-0.151895213,-0.013277552
Australia,Australia,0,06-01-2020,12-01-2020,7,2020,2,25921089,2902,0,2956.53956,-54.53955993,2902,0,-0.210406129,-0.018447093
Australia,Australia,0,13-01-2020,19-01-2020,7,2020,3,25921089,2914,0,2932.03956,-18.03955993,2914,0,-0.069594144,-0.006152564
Australia,Australia,0,20-01-2020,26-01-2020,7,2020,4,25921089,3007,0,2940.372893,66.62710674,3007,0,0.257038224,0.022659407
Australia,Australia,0,27-01-2020,02-02-2020,7,2020,5,25921089,2910,0,2900.03956,9.960440075,2910,0,0.038426009,0.003434588
Australia,Australia,0,03-02-2020,09-02-2020,7,2020,6,25921089,2917,0,2931.706227,-14.70622659,2917,0,-0.056734602,-0.005016269
Australia,Australia,0,10-02-2020,16-02-2020,7,2020,7,25921089,3030,0,2936.372893,93.62710674,3030,0,0.361200514,0.031885292
Australia,Australia,0,17-02-2020,23-02-2020,7,2020,8,25921089,3059,0,2989.03956,69.96044007,3059,0,0.269897766,0.023405659
Australia,Australia,0,24-02-2020,01-03-2020,7,2020,9,25921089,3090,1,2952.647472,137.3525281,3089,0.003857863,0.529887182,0.046518431
Australia,Australia,0,02-03-2020,08-03-2020,7,2020,10,25921089,2996,2,2992.247472,3.75252809,2994,0.007715725,0.014476738,0.001254083
Australia,Australia,0,09-03-2020,15-03-2020,7,2020,11,25921089,2976,0,2928.047472,47.95252809,2976,0,0.184994265,0.016376964
Australia,Australia,0,16-03-2020,22-03-2020,7,2020,12,25921089,3095,4,2960.047472,134.9525281,3091,0.01543145,0.520628312,0.045591339
Australia,Australia,0,23-03-2020,29-03-2020,7,2020,13,25921089,3143,9,2979.447472,163.5525281,3134,0.034720763,0.630963182,0.054893577
Australia,Australia,0,30-03-2020,05-04-2020,7,2020,14,25921089,3217,19,2997.247472,219.7525281,3198,0.07329939,0.847775061,0.073318113
Australia,Australia,0,06-04-2020,12-04-2020,7,2020,15,25921089,3140,25,3042.647472,97.35252809,3115,0.096446565,0.375572678,0.031995993
Australia,Australia,0,13-04-2020,19-04-2020,7,2020,16,25921089,3084,7,3045.847472,38.15252809,3077,0.027005038,0.147187212,0.01252608
Australia,Australia,0,20-04-2020,26-04-2020,7,2020,17,25921089,3044,16,3037.647472,6.35252809,3028,0.061725802,0.024507181,0.002091266
Australia,Australia,0,27-04-2020,03-05-2020,7,2020,18,25921089,3032,12,3070.847472,-38.84747191,3020,0.046294351,-0.149868209,-0.012650408
Australia,Australia,0,04-05-2020,10-05-2020,7,2020,19,25921089,3161,2,3193.047472,-32.04747191,3159,0.007715725,-0.123634744,-0.010036641
Australia,Australia,0,11-05-2020,17-05-2020,7,2020,20,25921089,3150,2,3192.047472,-42.04747191,3148,0.007715725,-0.16221337,-0.013172571
Australia,Australia,0,18-05-2020,24-05-2020,7,2020,21,25921089,3214,3,3266.647472,-52.64747191,3211,0.011573588,-0.203106713,-0.016116668
Australia,Australia,0,25-05-2020,31-05-2020,7,2020,22,25921089,3178,1,3283.447472,-105.4474719,3177,0.003857863,-0.406801859,-0.032114865
Australia,Australia,0,01-06-2020,07-06-2020,7,2020,23,25921089,3113,0,3353.847472,-240.8474719,3113,0,-0.929156456,-0.071812291
Australia,Australia,0,08-06-2020,14-06-2020,7,2020,24,25921089,3128,0,3302.247472,-174.2474719,3128,0,-0.672222806,-0.052766328
Australia,Australia,0,15-06-2020,21-06-2020,7,2020,25,25921089,3064,0,3331.047472,-267.0474719,3064,0,-1.030232456,-0.080169218
Australia,Australia,0,22-06-2020,28-06-2020,7,2020,26,25921089,3058,2,3384.447472,-326.4474719,3056,0.007715725,-1.259389495,-0.096455175
Australia,Australia,0,29-06-2020,05-07-2020,7,2020,27,25921089,3218,2,3461.447472,-243.4474719,3216,0.007715725,-0.939186899,-0.070331118
Australia,Australia,0,06-07-2020,12-07-2020,7,2020,28,25921089,3197,2,3443.247472,-246.2474719,3195,0.007715725,-0.949988914,-0.071516054
Australia,Australia,0,13-07-2020,19-07-2020,7,2020,29,25921089,3204,15,3528.247472,-324.2474719,3189,0.057867939,-1.250902197,-0.091900433
Australia,Australia,0,20-07-2020,26-07-2020,7,2020,30,25921089,3332,38,3550.247472,-218.2474719,3294,0.146598779,-0.841968761,-0.061473876
Australia,Australia,0,27-07-2020,02-08-2020,7,2020,31,25921089,3353,60,3505.447472,-152.4474719,3293,0.231471756,-0.588121401,-0.043488734
Australia,Australia,0,03-08-2020,09-08-2020,7,2020,32,25921089,3398,92,3527.847472,-129.8474719,3306,0.35492336,-0.500933707,-0.03680643
